date,tavg,tmin,tmax,prcp
08-06-2005,34.6,28.1,40.1,
09-06-2005,34.8,,42.5,0
10-06-2005,36.9,27.5,43.3,0
11-06-2005,36.8,29.6,44.8,0
12-06-2005,36.4,,44.3,0
13-06-2005,36.7,26.7,44.3,0
14-06-2005,35.9,27.9,43.9,0
15-06-2005,36.7,28.5,44.2,0
16-06-2005,37.5,28.8,44.8,0
17-06-2005,38,28.2,45.1,0
18-06-2005,38.8,29.9,45.8,
19-06-2005,37.5,29.7,46.2,0
20-06-2005,38.5,30.6,46.2,0
21-06-2005,36,29.6,46.2,0
22-06-2005,34,,42,0
23-06-2005,30.3,21.9,41.8,19.1
24-06-2005,30.4,25.2,35.1,6.1
25-06-2005,32.6,28.2,37.3,0
26-06-2005,32,28.3,38.6,
27-06-2005,30,,38.6,
28-06-2005,28.2,22.4,36.8,
29-06-2005,29.2,25.2,36.2,
30-06-2005,28.9,25.1,36.2,
01-07-2005,28.8,25.7,33.8,5.1
02-07-2005,28.7,25.3,34,0.8
03-07-2005,27.8,25.2,34,3
04-07-2005,28.7,25,32.6,16
05-07-2005,28.2,24.5,32.7,1
06-07-2005,26.8,24.8,32.7,1
07-07-2005,30.3,24.5,36,0.5
08-07-2005,32.9,27.5,38.4,0
09-07-2005,32.5,28.1,38.4,0
10-07-2005,30.2,,37.3,
11-07-2005,26.5,,34.3,0
12-07-2005,27.4,23.8,32.6,47
13-07-2005,27.4,24.3,30.8,67.1
14-07-2005,26.9,24.3,30.6,38.1
15-07-2005,28,,32.4,5.1
16-07-2005,26.5,24.9,32.4,7.9
17-07-2005,27.1,24.3,30.4,23.1
18-07-2005,28,24.6,31.1,7.1
19-07-2005,28.7,,33.4,0
20-07-2005,28.6,23.9,34.3,7.9
21-07-2005,29.6,24.4,35.1,18
22-07-2005,28.4,,35.1,1
23-07-2005,30,25.1,34.5,8.9
24-07-2005,29.9,26.5,34.5,0.8
25-07-2005,30.1,26.9,35.4,0.5
26-07-2005,32,,,0.5
27-07-2005,29.5,25.4,35.8,3
28-07-2005,30.7,26.5,34.5,0.3
29-07-2005,29,27.3,34.5,0.5
30-07-2005,30.9,26.8,35.1,22.1
31-07-2005,31.8,27.1,36.3,0
01-08-2005,30.4,27.4,36.3,
02-08-2005,31.1,27.1,36.3,
03-08-2005,30.8,27.5,36.3,
04-08-2005,31.2,26.3,35.6,
05-08-2005,31,26.8,35.5,
06-08-2005,28.6,,35.5,
07-08-2005,29.9,26.5,33.9,
08-08-2005,30.9,26,35.1,
09-08-2005,31.2,25.7,35.1,
10-08-2005,30.8,26.1,35.7,
11-08-2005,31.1,26.1,35.5,
12-08-2005,30.7,26.5,35.5,
13-08-2005,32,26.6,36.9,
14-08-2005,32.8,27.7,,
15-08-2005,28,25.1,37,7.1
16-08-2005,29.4,26.1,33.7,0.8
17-08-2005,28.9,26.1,34.9,0.3
18-08-2005,29.9,25.4,34.9,7.1
19-08-2005,27.7,,33.3,0
20-08-2005,27.9,24.2,32,9.9
21-08-2005,27.1,,31.3,4.1
22-08-2005,26.9,24.7,31.3,13
23-08-2005,27.5,25.1,31.3,13
24-08-2005,29.4,25.6,34.5,0
25-08-2005,30.5,25.5,,0
26-08-2005,30,24.9,36.7,
27-08-2005,31.1,25.5,36.1,
28-08-2005,30.2,24.2,36.1,
29-08-2005,31.4,25.1,36.9,
30-08-2005,31.3,26.4,37.1,
31-08-2005,32.3,26.2,37.1,
01-09-2005,32.3,27.5,37.3,
02-09-2005,31.4,27.7,37.3,
03-09-2005,29.9,27.4,36.5,
04-09-2005,30.5,25.5,36.4,
05-09-2005,28.5,,35.1,
06-09-2005,28.2,25.5,35.1,
07-09-2005,29.4,24.5,33.6,
08-09-2005,30.5,,36.5,
09-09-2005,31.2,27,37.6,
10-09-2005,30.8,25.7,37.6,
11-09-2005,27.8,,36.3,
12-09-2005,28.7,23.5,35.1,
13-09-2005,29.4,25.6,34.1,
14-09-2005,27.1,26.1,33.6,
15-09-2005,25.5,,30.3,
16-09-2005,26.4,23.3,29.1,127
17-09-2005,26.7,23.6,29.1,3
18-09-2005,29.4,24,34.2,0
19-09-2005,30.2,24.5,35.1,
20-09-2005,31.1,26.1,36.2,
21-09-2005,29.3,25.9,36.2,
22-09-2005,28.1,25.3,33.4,
23-09-2005,29.2,23.9,33.6,19.1
24-09-2005,29,25.2,33.6,0
25-09-2005,26.7,24.6,33.5,0
26-09-2005,27.7,23.6,32.5,1
27-09-2005,28.7,24.5,33.9,0
28-09-2005,29,24.3,34.1,
29-09-2005,29.3,24,34.5,
30-09-2005,29.6,24.1,34.6,
01-10-2005,28.7,24.1,34.6,
02-10-2005,28.5,,,
03-10-2005,28.3,24,34.5,
04-10-2005,28.8,23.7,34.3,
05-10-2005,28,22.5,34.5,
06-10-2005,28.1,22,34.5,
07-10-2005,26.9,22.6,34.3,
08-10-2005,28,22.6,34.2,
09-10-2005,28.9,23.6,34.1,
10-10-2005,28.3,22.6,34.2,
11-10-2005,28.2,23,34.2,
12-10-2005,27.5,23.1,34.4,
13-10-2005,27.9,22.2,34.4,
14-10-2005,27.4,21.3,34.6,
15-10-2005,27.2,21.7,34.6,
16-10-2005,27.3,21.1,34.1,
17-10-2005,27.8,21.1,33.8,
18-10-2005,27.5,21.6,33.8,0.8
