date,tavg,tmin,tmax,prcp
09-06-2005,33.4,26.1,40.2,0
10-06-2005,32.9,25.3,40.2,0.3
11-06-2005,35.6,28.8,42.5,0
12-06-2005,34.2,29.5,40.7,0
13-06-2005,34.4,29.6,40.6,0
14-06-2005,33.9,29.1,40.1,0
15-06-2005,34.8,28,41.6,0
16-06-2005,36.3,28.7,43,0
17-06-2005,37.1,29.1,42.8,
18-06-2005,36.6,28.5,43.7,0
19-06-2005,37.2,30,44.2,0
20-06-2005,37.9,29.4,45,0
21-06-2005,36.9,33.1,42.2,0
22-06-2005,37.2,32,44.4,
23-06-2005,33.3,,41.3,0
24-06-2005,33.1,26.4,37.7,10.9
25-06-2005,35.9,30.2,41.1,0
26-06-2005,28.5,,,1
27-06-2005,28.9,26.7,32.1,7.1
28-06-2005,29.3,27.2,32.2,0
29-06-2005,28.8,,34.2,0.5
30-06-2005,30.8,25.7,35.4,20.1
01-07-2005,32.6,28.8,37.2,0
02-07-2005,31.1,27,35.3,
03-07-2005,30,27.1,35.5,
04-07-2005,29.1,26,33.5,0
05-07-2005,27.1,,28.6,0
06-07-2005,26.6,,28.5,7.9
07-07-2005,26.8,25.2,28.6,35.1
08-07-2005,31.1,25.2,35.9,6.1
09-07-2005,33.2,28.7,37.3,0
10-07-2005,32.8,30.1,38.5,0
11-07-2005,27,,28.4,
12-07-2005,27.1,24.1,29.8,61
13-07-2005,28.3,,,0
14-07-2005,27.9,26,31.8,6.1
15-07-2005,28.8,26,33.1,11.9
16-07-2005,29.3,26.9,33.1,1
17-07-2005,28.9,26.4,32.5,0.8
18-07-2005,29.6,26.2,35.6,22.1
19-07-2005,31.7,26.2,35.8,0
20-07-2005,32.4,28.6,36.7,
21-07-2005,31.7,30.1,36.1,
22-07-2005,31.8,,37.2,
23-07-2005,29.9,26.5,33.6,3
24-07-2005,31.8,27.5,35.6,0
25-07-2005,32.4,28.4,37.1,
26-07-2005,29.8,28.4,33.1,
27-07-2005,32,27.3,36.2,
28-07-2005,32.5,28.4,37.1,
29-07-2005,30.2,27.4,35.3,3
30-07-2005,30.3,27.8,36.2,4.1
31-07-2005,30.9,27.4,35.4,0.3
01-08-2005,32.5,28.6,36.7,0
02-08-2005,32.5,28.7,37.3,
03-08-2005,33.5,29.1,37.7,
04-08-2005,31.3,,37.2,
05-08-2005,29.2,28.1,32.1,
06-08-2005,28.2,24.9,31.7,
07-08-2005,29.9,26.8,32.7,
08-08-2005,30.7,26.3,34.6,
09-08-2005,31.2,27.3,35.8,
10-08-2005,31.7,27.5,35.7,
11-08-2005,31.7,27.4,35.6,
12-08-2005,32.2,27.4,36.7,
13-08-2005,32.9,28.6,37.5,
14-08-2005,33.6,29.5,37.8,
15-08-2005,31,30.1,33.9,
16-08-2005,28.8,,32.6,
17-08-2005,29.8,27.2,32.6,
18-08-2005,31.5,27,35.7,
19-08-2005,32.2,29.1,36.8,
20-08-2005,30.6,,36.3,2
21-08-2005,30.9,21.6,34.7,68.1
22-08-2005,31.9,28.2,36.1,0
23-08-2005,31.9,27.4,36.3,
24-08-2005,31.2,,36,
25-08-2005,31.1,26.3,36.1,
26-08-2005,31.7,26.4,36.5,
27-08-2005,31.9,27,36.7,
28-08-2005,32,27.6,37.2,
29-08-2005,32.5,27.6,37.6,
30-08-2005,31.6,26.9,37,
31-08-2005,33.3,27,37.1,
01-09-2005,32.5,27.3,37.3,
02-09-2005,32.3,27,37.8,
03-09-2005,32.7,27.1,38.5,
04-09-2005,32.3,27.6,37.7,
05-09-2005,31.6,27.3,37.5,
06-09-2005,31.3,26.4,37.5,
07-09-2005,31,27.1,36.1,
08-09-2005,31.7,27.7,36.1,
09-09-2005,29.3,28.1,36.6,
10-09-2005,27.1,25.2,29.3,
11-09-2005,29.7,24.6,36.1,
12-09-2005,27.5,,34,2
13-09-2005,27.6,23.6,35.2,58.9
14-09-2005,28.1,25,33.3,15
15-09-2005,25.7,22.9,30.4,8.9
16-09-2005,23,,,21.1
17-09-2005,23.7,21.2,26.6,56.9
18-09-2005,27.3,22.7,32,2
19-09-2005,28.7,23.7,33.6,0.3
20-09-2005,29.3,25,34.6,0
21-09-2005,30.8,26,36,
22-09-2005,29.2,26.6,33.8,
23-09-2005,29.2,26.1,34.1,0
24-09-2005,24.6,,27.6,5.1
25-09-2005,25.4,21.5,29.8,35.1
26-09-2005,27.9,23.7,32.5,0
27-09-2005,28.7,24,33.5,
28-09-2005,28.5,24.8,33.2,
29-09-2005,28.3,24,33.8,
30-09-2005,28.5,23.8,34.2,
01-10-2005,28.6,23.6,34.2,
02-10-2005,27.6,23,34.6,
03-10-2005,27.1,21.5,34.2,
04-10-2005,27.3,21.7,34.3,
05-10-2005,27.9,21,35.1,
06-10-2005,27.7,22.4,34.8,
07-10-2005,28,23.2,35.4,
08-10-2005,27.2,20.6,35.1,
09-10-2005,27.8,20.3,35.6,
10-10-2005,27.6,20.6,34.8,
11-10-2005,27.3,20.7,35.2,
12-10-2005,26.3,20.8,33.5,
13-10-2005,26,19.3,33.6,
14-10-2005,26.1,20.1,33.6,
15-10-2005,25.8,19.7,33.6,
16-10-2005,25.5,19.1,34.1,
17-10-2005,25.1,18.5,33.7,
18-10-2005,25.2,,33.8,
19-10-2005,24.3,18.3,32,
20-10-2005,23.9,,31.1,
21-10-2005,23.1,17.3,30.2,
22-10-2005,22.8,16.7,30.5,
23-10-2005,22.5,15.1,31,
24-10-2005,22.5,15.4,31.5,
25-10-2005,23.2,16.2,32.7,
26-10-2005,21.3,14.7,33.7,
27-10-2005,22.8,15.7,32.9,
28-10-2005,21.1,17.1,29.7,
29-10-2005,20.9,14.3,29.8,
30-10-2005,21.3,14.7,31.1,
31-10-2005,21.3,13.7,31.2,
01-11-2005,21.3,13,31.5,
02-11-2005,23.6,14,31.2,
03-11-2005,24,18.4,30.8,
04-11-2005,20.9,14.5,28.9,
05-11-2005,19.3,13.4,27.6,
06-11-2005,19.8,12.4,28.3,
07-11-2005,18.6,12.3,,
08-11-2005,18.9,12.8,28.4,
09-11-2005,19.6,11.9,28.5,
10-11-2005,20.1,13.2,29.3,
11-11-2005,20.3,12.8,31.2,
12-11-2005,21,13.1,30.7,
13-11-2005,22.7,15.2,30.5,
14-11-2005,21,,29.1,
15-11-2005,21.3,13.2,28.9,
16-11-2005,21.3,13.7,28.8,
17-11-2005,18.8,11.9,28.1,
18-11-2005,16.8,10.1,27.5,
19-11-2005,17.5,8.5,28.5,
20-11-2005,18.1,9.5,29.4,
21-11-2005,18.2,10.4,28.6,
22-11-2005,19.9,11.5,31.1,
23-11-2005,18.5,11.5,28.7,
24-11-2005,17.8,10.3,27.8,
25-11-2005,16.4,9.8,28.3,
26-11-2005,17.5,9.9,27.6,
27-11-2005,17.5,10.4,27.7,
28-11-2005,18.4,10.7,28,
29-11-2005,18.3,11.4,26.8,
30-11-2005,15.1,10.6,24.1,
01-12-2005,12.8,,21.7,
02-12-2005,12.2,4.7,22.4,
03-12-2005,12.2,5,21.1,
04-12-2005,14.6,4.7,23,
05-12-2005,15.2,9.1,24.8,
06-12-2005,14.8,7.3,25.2,
07-12-2005,14.5,6.7,26,
08-12-2005,14.1,6.6,24.4,
09-12-2005,14.4,6.7,24.7,
10-12-2005,14.8,6.6,24.6,
11-12-2005,11.1,4.7,22.7,
12-12-2005,12.2,3.3,23.8,
13-12-2005,12.1,4.8,21.5,
14-12-2005,12.2,6.1,21.5,
15-12-2005,11.8,3.6,21.9,
16-12-2005,13.1,5.3,23.5,
17-12-2005,13.2,6.8,,
18-12-2005,11.9,5.7,21.5,
19-12-2005,9.6,3.4,21.6,
20-12-2005,12.2,4.3,22.7,
21-12-2005,13.1,5.7,23.2,
22-12-2005,14.3,6.5,23,
23-12-2005,11.3,8.8,15.3,
24-12-2005,12.2,7.5,18.9,
25-12-2005,12.6,6.2,21,
26-12-2005,12.9,6.5,21.8,
27-12-2005,14.6,7.5,23.2,
28-12-2005,14.5,7.5,24.3,
29-12-2005,13.3,5.3,24.1,
30-12-2005,11.9,5.7,,
31-12-2005,14.4,5.5,23.8,
01-01-2006,16.1,6.5,24.8,
02-01-2006,18.9,11,24.5,0.5
03-01-2006,13.1,,16.7,0.3
04-01-2006,11,6,17.3,0
05-01-2006,9.5,5,17.3,
06-01-2006,11.2,4.5,18.8,
07-01-2006,9.4,,18.7,
08-01-2006,8.6,0.2,18.1,
09-01-2006,10.1,1.4,19.3,
10-01-2006,12.5,4.3,19.9,
11-01-2006,12.2,5.4,22.3,
12-01-2006,13.3,4.8,24.6,
13-01-2006,14.3,7,24.2,
14-01-2006,14.5,8,24.4,
15-01-2006,18.5,,26.5,
16-01-2006,18.4,11.6,26.5,
17-01-2006,19.7,12.8,26.6,
18-01-2006,19.7,14.4,26.5,
19-01-2006,15.4,,23.2,
20-01-2006,14.6,8,24,
21-01-2006,15.2,10.2,21.6,
22-01-2006,12.3,,20.3,
23-01-2006,12,4.8,19.5,
24-01-2006,13.3,6.4,21,
25-01-2006,13.1,7.3,21.2,
26-01-2006,12.8,4.8,22.3,
27-01-2006,13.7,6.2,22.7,
