date,tavg,tmin,tmax,prcp
16-06-2005,31.7,26.7,34,3
17-06-2005,31.8,28.2,34.3,0
18-06-2005,30,27,35,0
19-06-2005,28.5,24.9,,25.9
20-06-2005,27.4,,30.5,13
21-06-2005,27.4,,30.4,32
22-06-2005,27.1,24.4,29,58.9
23-06-2005,25.6,,,108
24-06-2005,26.7,,30.8,119.1
25-06-2005,26.7,24.5,29.6,51.1
26-06-2005,27.6,,31.1,18
27-06-2005,27,,30,29
28-06-2005,27.5,25.5,29.4,74.9
29-06-2005,27.6,,29.3,19.1
30-06-2005,28.3,,31,7.1
01-07-2005,27.1,,29,21.1
02-07-2005,27.7,25.5,29.6,23.1
03-07-2005,28.4,25,31.7,9.9
04-07-2005,28.2,26,31.2,8.9
05-07-2005,28.7,,,3
06-07-2005,28.8,,31.3,0.3
07-07-2005,28.1,,31.4,0
08-07-2005,28.8,27,31.9,2
09-07-2005,28.4,,30.9,0
10-07-2005,28.7,27.8,31.5,
11-07-2005,28.6,,31.3,0
12-07-2005,28.8,26.8,31.8,0
13-07-2005,28.9,,32.1,0.3
14-07-2005,29.2,26.5,32.1,10.9
15-07-2005,28.9,,32,0
16-07-2005,28.9,,32.1,0
17-07-2005,28.4,,31,6.1
18-07-2005,29.2,,31.5,34
19-07-2005,27.9,,,17
20-07-2005,26.6,,29,17
21-07-2005,26.8,23.6,,103.1
22-07-2005,27.8,,30.2,39.1
23-07-2005,28.8,25.6,32,13
24-07-2005,28.2,25.2,31.4,15
25-07-2005,28.1,,,4.1
26-07-2005,27.1,,,461
27-07-2005,27.7,24.2,,0
28-07-2005,28.4,,,19.1
29-07-2005,27.3,24.7,,19.3
30-07-2005,27.6,24.3,30.2,57.9
31-07-2005,25.5,24.8,27.4,67.1
01-08-2005,25.3,,,208
02-08-2005,27.5,24,29.2,149.1
03-08-2005,28,24,,42.9
04-08-2005,26.4,25.6,28,6.1
05-08-2005,27.6,25.2,,16
06-08-2005,27.3,26,30,2
07-08-2005,26.9,24.8,30.2,9.9
08-08-2005,26.7,,30.4,1
09-08-2005,27.7,25.2,30.8,5.1
10-08-2005,27.7,,30.9,0.5
11-08-2005,27,25.5,30,2
12-08-2005,27.2,25,30.4,6.1
13-08-2005,26.9,,30.3,1.8
14-08-2005,27.4,,30.6,4.1
15-08-2005,27.6,,30.7,0.3
16-08-2005,26.9,,30,3
17-08-2005,27.3,25.4,30.6,15
18-08-2005,27.5,24.8,30.7,3
19-08-2005,26.9,24.7,30,7.9
20-08-2005,26.2,,27.4,3
21-08-2005,27.2,25.5,29.4,18
22-08-2005,27.1,25.1,30,3
23-08-2005,27.8,24.5,30.6,1
24-08-2005,27.8,,31.2,0
