date,tavg,tmin,tmax,prcp
08-06-2005,24.9,21.7,30.6,
09-06-2005,24.4,,30.4,1
10-06-2005,23.7,21.2,28.5,4.1
11-06-2005,25,20.5,30.7,7.9
12-06-2005,25.7,20.9,31,0
13-06-2005,25.4,21,32.2,
14-06-2005,25.9,21.2,31.5,0.5
15-06-2005,25.7,20.9,31.4,0
16-06-2005,25.5,20.4,31.6,0
17-06-2005,24.6,21.1,30.4,0
18-06-2005,23.9,21,29.2,
19-06-2005,24.1,,29.7,0
20-06-2005,22.7,,28.6,
21-06-2005,22.4,19.3,26.9,
22-06-2005,22.5,20.1,28.2,0
23-06-2005,24,19.9,29.6,1
24-06-2005,24.1,20.4,30.3,0
25-06-2005,23.9,20.4,28.8,3
26-06-2005,23.7,20.5,28.8,0
27-06-2005,23.8,19.9,29.8,0
28-06-2005,23.5,20,28.9,0
29-06-2005,23.8,20.4,29.2,0
30-06-2005,23.8,20.5,28.8,0
01-07-2005,22.6,20.7,27.2,1
02-07-2005,23.9,20.1,28.7,3
03-07-2005,24.3,20.1,30,3
04-07-2005,24,20.4,30.4,0
05-07-2005,23.7,20.4,29,
06-07-2005,23.6,20.5,29.8,
07-07-2005,24.3,20.4,29.9,
08-07-2005,23.7,,29.8,0
09-07-2005,23.8,20.3,28.1,4.1
10-07-2005,23.2,20.5,30,0
11-07-2005,23.6,20.2,29.9,8.9
12-07-2005,24.3,19.9,29.9,2
13-07-2005,24.8,20.2,29.8,1
14-07-2005,23.3,,30.1,14
15-07-2005,24,18.3,30,14
16-07-2005,23.3,,29.5,23.1
17-07-2005,23.3,19.5,28.3,23.9
18-07-2005,23.8,20,30.2,3
19-07-2005,23.8,,30,0
20-07-2005,23.9,20.4,29.7,0.3
21-07-2005,24,20.8,28.6,0
22-07-2005,23.2,20.8,26.6,
23-07-2005,22.1,,26.9,
24-07-2005,21.3,19.5,25.7,
25-07-2005,22,19.6,25.9,
26-07-2005,21.8,,24,
